name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Force of Will",0,"Instant",U,"dmr","418",mythic,null,Owned,Non-foil,false,,,"","",108065,false
"Ancestral Recall",1,"Instant",U,"2ed","48",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Brainstorm",1,"Instant",U,"c21","115",common,null,Owned,Non-foil,false,,,"","",89331,false
"Condescend",1,"Instant",U,"dd2","28",common,null,Owned,Non-foil,false,,,"","",31621,false
"Consider",1,"Instant",U,"dbl","44",common,null,Owned,Non-foil,false,,,"","",96302,false
"Force Spike",1,"Instant",U,"7ed","76",common,null,Owned,Non-foil,false,,,"","",15530,false
"Mystical Tutor",1,"Instant",U,"6ed","83",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Arcane Denial",2,"Instant",U,"voc","102",common,null,Owned,Non-foil,false,,,"","",94978,false
"Counterspell",2,"Instant",U,"3ed","54",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Mana Drain",2,"Instant",U,"2x2","57",mythic,null,Owned,Non-foil,false,,,"","",101598,false
"Mana Leak",2,"Instant",U,"2x2","58",common,null,Owned,Non-foil,false,,,"","",101600,false
"Memory Lapse",2,"Instant",U,"7ed","88",common,null,Owned,Non-foil,false,,,"","",15684,false
"Miscalculation",2,"Instant",U,"ulg","36",common,null,Owned,Non-foil,false,,,"","",12607,false
"Remand",2,"Instant",U,"ddm","26",uncommon,null,Owned,Non-foil,false,,,"","",52505,false
"Thirst for Knowledge",3,"Instant",U,"mrd","53",uncommon,null,Owned,Non-foil,false,,,"","",19705,false
"Cryptic Command",4,"Instant",U,"mma","38",rare,null,Owned,Non-foil,false,,,"","",48702,false
"Fact or Fiction",4,"Instant",U,"sld","333",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Dig Through Time",8,"Instant",U,"uma","50",rare,null,Owned,Non-foil,false,,,"","",70173,false
"Gitaxian Probe",1,"Sorcery",U,"nph","35",common,null,Owned,Non-foil,false,,,"","",39976,false
"Ponder",1,"Sorcery",U,"m10","68",common,null,Owned,Non-foil,false,,,"","",32923,false
"Preordain",1,"Sorcery",U,"cmr","84",common,null,Owned,Non-foil,false,,,"","",84950,false
"Chart a Course",2,"Sorcery",U,"jmp","142",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Time Walk",2,"Sorcery",U,"30a","380",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Show and Tell",3,"Sorcery",U,"usg","96",rare,null,Owned,Non-foil,false,,,"","",12139,false
"Timetwister",3,"Sorcery",U,"2ed","85",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Tinker",3,"Sorcery",U,"v09","14",mythic,null,Owned,Non-foil,false,,,"","",33932,false
"Bribery",5,"Sorcery",U,"mmq","62",rare,null,Owned,Non-foil,false,,,"","",13563,false
"Time Spiral",6,"Sorcery",U,"usg","103",rare,null,Owned,Non-foil,false,,,"","",12385,false
"Upheaval",6,"Sorcery",U,"v14","13",mythic,null,Owned,Non-foil,false,,,"","",53927,false
"Treasure Cruise",8,"Sorcery",U,"uma","79",common,null,Owned,Non-foil,false,,,"","",70231,false
"Mox Sapphire",0,"Artifact",U,"leb","266",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Vedalken Shackles",3,"Artifact",U,"5dn","164",rare,null,Owned,Non-foil,false,,,"","",20688,false
"Control Magic",4,"Enchantment - Aura",U,"30a","52",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Opposition",4,"Enchantment",U,"7ed","92",rare,null,Owned,Non-foil,false,,,"","",15724,false
"Treachery",5,"Enchantment - Aura",U,"uds","50",rare,null,Owned,Non-foil,false,,,"","",13039,false
"Shark Typhoon",6,"Enchantment",U,"iko","67",rare,null,Owned,Non-foil,false,,,"","",80143,false
"Faerie Conclave",0,"Land",U,"10e","351",uncommon,Blue,Owned,Non-foil,false,,,"","",27116,false
"Shelldock Isle",0,"Land",U,"lrw","272",rare,Blue,Owned,Non-foil,false,,,"","",28707,false
"Tolarian Academy",0,"Legendary Land",U,"usg","330",rare,Blue,Owned,Non-foil,false,,,"","",11931,false
"Bloodsoaked Champion",1,"Creature - Human Warrior",B,"ncc","243",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Cult Conscript",1,"Creature - Skeleton Warrior",B,"dmu","88",uncommon,null,Owned,Non-foil,false,,,"","",102652,false
"Dread Wanderer",1,"Creature - Zombie Jackal",B,"akh","88",rare,null,Owned,Non-foil,false,,,"","",63778,false
"Evolved Sleeper",1,"Creature - Human",B,"dmu","93",rare,null,Owned,Non-foil,false,,,"","",102662,false
"Gravecrawler",1,"Creature - Zombie",B,"ddq","59",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Gutterbones",1,"Creature - Skeleton Warrior",B,"rna","76",rare,null,Owned,Non-foil,false,,,"","",71152,false
"Putrid Imp",1,"Creature - Zombie Imp",B,"tor","77",common,null,Owned,Non-foil,false,,,"","",17167,false
"Bloodghast",2,"Creature - Vampire Spirit",B,"plst","ZEN-83",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Dark Confidant",2,"Creature - Human Wizard",B,"mm2","75",mythic,null,Owned,Non-foil,false,,,"","",57344,false
"Dauthi Voidwalker",2,"Creature - Dauthi Rogue",B,"mh2","397",rare,null,Owned,Non-foil,false,,,"","",91067,false
"Mesmeric Fiend",2,"Creature - Nightmare Horror",B,"ddk","7",common,null,Owned,Non-foil,false,,,"","",48087,false
"Pack Rat",2,"Creature - Rat",B,"rtr","73",rare,null,Owned,Non-foil,false,,,"","",46737,false
"Scrapheap Scrounger",2,"Artifact Creature - Construct",B,"kld","231",rare,null,Owned,Non-foil,false,,,"","",62087,false
"Skyclave Shade",2,"Creature - Shade",B,"znr","125",rare,null,Owned,Non-foil,false,,,"","",83219,false
"Vampire Hexmage",2,"Creature - Vampire Shaman",B,"c14","168",uncommon,null,Owned,Non-foil,false,,,"","",54789,false
"Flesh Carver",3,"Creature - Human Wizard",B,"c14","22",rare,null,Owned,Non-foil,false,,,"","",55207,false
"Murderous Rider",3,"Creature - Zombie Knight",B,"eld","97",rare,null,Owned,Non-foil,false,,,"","",78308,false
"Nighthawk Scavenger",3,"Creature - Vampire Rogue",B,"clb","763",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Ophiomancer",3,"Creature - Human Shaman",B,"cc2","3",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Sedgemoor Witch",3,"Creature - Human Warlock",B,"stx","86",rare,null,Owned,Non-foil,false,,,"","",88649,false
"Braids, Cabal Minion",4,"Legendary Creature - Human Minion",B,"mh2","273",rare,null,Owned,Non-foil,false,,,"","",90969,false
"Ravenous Chupacabra",4,"Creature - Beast Horror",B,"rix","82",uncommon,null,Owned,Non-foil,false,,,"","",66617,false
"Skinrender",4,"Creature - Phyrexian Zombie",B,"som","78",uncommon,null,Owned,Non-foil,false,,,"","",38453,false
"Doom Whisperer",5,"Creature - Nightmare Demon",B,"grn","69",mythic,null,Owned,Non-foil,false,,,"","",69511,false
"Shriekmaw",5,"Creature - Elemental",B,"c20","136",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Grave Titan",6,"Creature - Giant",B,"m12","98",mythic,null,Owned,Non-foil,false,,,"","",41295,false
"Massacre Wurm",6,"Creature - Phyrexian Wurm",B,"m21","316",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Archon of Cruelty",8,"Creature - Archon",B,"mh2","75",mythic,null,Owned,Non-foil,false,,,"","",90523,false
"Griselbrand",8,"Legendary Creature - Demon",B,"phel","106",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Liliana of the Veil",3,"Legendary Planeswalker - Liliana",B,"mm3","76",mythic,null,Owned,Non-foil,false,,,"","",63283,false
"Liliana, the Last Hope",3,"Legendary Planeswalker - Liliana",B,"med","GR2",mythic,null,Owned,Non-foil,false,,,"","",69975,false
"Grief",0,"Instant",B,"mh2","87",mythic,null,Owned,Non-foil,false,,,"","",90547,false
"Snuff Out",0,"Instant",B,"mmq","162",common,null,Owned,Non-foil,false,,,"","",13495,false
"Booster Tutor",1,"Instant",B,"und","33",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Dark Ritual",1,"Instant",B,"leb","99",common,null,Owned,Non-foil,false,,,"","",-1,false
"Entomb",1,"Instant",B,"pd3","14",rare,null,Owned,Non-foil,false,,,"","",43127,false
"Fatal Push",1,"Instant",B,"sld","112",rare,null,Owned,Non-foil,false,,,"","",82794,false
"Vampiric Tutor",1,"Instant",B,"vis","72",rare,null,Owned,Non-foil,false,,,"","",7777,false
"Cabal Ritual",2,"Instant",B,"tor","51",common,null,Owned,Non-foil,false,,,"","",17191,false
"Dismember",3,"Instant",B,"sld","321",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Hero's Downfall",3,"Instant",B,"dmc","112",uncommon,null,Owned,Non-foil,false,,,"","",103110,false
"Baleful Mastery",4,"Instant",B,"stx","64",rare,null,Owned,Non-foil,false,,,"","",88605,false
"Bloodchief's Thirst",1,"Sorcery",B,"znr","94",uncommon,null,Owned,Non-foil,false,,,"","",83151,false
"Duress",1,"Sorcery",B,"xln","105",common,null,Owned,Non-foil,false,,,"","",65226,false
"Imperial Seal",1,"Sorcery",B,"2x2","354",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Inquisition of Kozilek",1,"Sorcery",B,"2x2","80",uncommon,null,Owned,Non-foil,false,,,"","",101644,false
"Mind Twist",1,"Sorcery",B,"leb","116",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Reanimate",1,"Sorcery",B,"uma","110",rare,null,Owned,Non-foil,false,,,"","",70017,false
"Thoughtseize",1,"Sorcery",B,"sld","1117",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,null,Owned,Non-foil,false,,,"","",61144,false
"Demonic Tutor",2,"Sorcery",B,"30a","398",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Exhume",2,"Sorcery",B,"brb","24",common,null,Owned,Non-foil,false,,,"","",-1,false
"Hymn to Tourach",2,"Sorcery",B,"ema","92",uncommon,null,Owned,Non-foil,false,,,"","",60783,false
"Toxic Deluge",3,"Sorcery",B,"c13","96",rare,null,Owned,Non-foil,false,,,"","",51366,false
"Damnation",4,"Sorcery",B,"plc","85",rare,null,Owned,Non-foil,false,,,"","",26279,false
"Languish",4,"Sorcery",B,"c16","114",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Living Death",5,"Sorcery",B,"cmd","88",rare,null,Owned,Non-foil,false,,,"","",40480,false
"Mox Jet",0,"Artifact",B,"30a","556",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Animate Dead",2,"Enchantment - Aura",B,"2ed","93",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Bitterblossom",2,"Tribal Enchantment - Faerie",B,"mm2","71",mythic,null,Owned,Non-foil,false,,,"","",57054,false
"Dance of the Dead",2,"Enchantment - Aura",B,"ice","118",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Necromancy",3,"Enchantment",B,"plst","VIS-64",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Phyrexian Arena",3,"Enchantment",B,"hop","36",rare,null,Owned,Non-foil,false,,,"","",44642,false
"Recurring Nightmare",3,"Enchantment",B,"exo","72",rare,null,Owned,Non-foil,false,,,"","",10583,false
"Hive of the Eye Tyrant",0,"Land",B,"afr","258",rare,Black,Owned,Non-foil,false,,,"","",92018,false
"Bomat Courier",1,"Artifact Creature - Construct",R,"kld","199",rare,null,Owned,Foil,false,,,"","",62075,false
"Falkenrath Gorger",1,"Creature - Vampire Berserker",R,"soi","155",rare,null,Owned,Non-foil,false,,,"","",59776,false
"Falkenrath Pit Fighter",1,"Creature - Vampire Warrior",R,"mid","137",rare,null,Owned,Non-foil,false,,,"","",93240,false
"Firedrinker Satyr",1,"Creature - Satyr Shaman",R,"ths","122",rare,null,Owned,Non-foil,false,,,"","",50612,false
"Goblin Guide",1,"Creature - Goblin Scout",R,"2xm","127",rare,null,Owned,Non-foil,false,,,"","",82288,false
"Goblin Welder",1,"Creature - Goblin Artificer",R,"ddu","35",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Grim Lavamancer",1,"Creature - Human Wizard",R,"pd2","1",rare,null,Owned,Non-foil,false,,,"","",39285,false
"Monastery Swiftspear",1,"Creature - Human Monk",R,"2x2","362",common,null,Owned,Non-foil,false,,,"","",-1,false
"Rabbit Battery",1,"Artifact Creature - Equipment Rabbit",R,"neo","157",uncommon,null,Owned,Non-foil,false,,,"","",97246,false
"Ragavan, Nimble Pilferer",1,"Legendary Creature - Monkey Pirate",R,"mh2","138",mythic,null,Owned,Non-foil,false,,,"","",90653,false
"Zurgo Bellstriker",1,"Legendary Creature - Orc Warrior",R,"dtk","169",rare,null,Owned,Non-foil,false,,,"","",56050,false
"Abbot of Keral Keep",2,"Creature - Human Monk",R,"ori","127",rare,null,Owned,Non-foil,false,,,"","",58042,false
"Bloodthirsty Adversary",2,"Creature - Vampire",R,"dbl","129",mythic,null,Owned,Non-foil,false,,,"","",96506,false
"Dire Fleet Daredevil",2,"Creature - Human Pirate",R,"rix","99",rare,null,Owned,Non-foil,false,,,"","",66651,false
"Dismissive Pyromancer",2,"Creature - Human Wizard",R,"m19","136",rare,null,Owned,Non-foil,false,,,"","",68433,false
"Eidolon of the Great Revel",2,"Enchantment Creature - Spirit",R,"a25","128",rare,null,Owned,Non-foil,false,,,"","",67170,false
"Embereth Shieldbreaker",2,"Creature - Human Knight",R,"eld","122",uncommon,null,Owned,Non-foil,false,,,"","",78368,false
"Goblin Cratermaker",2,"Creature - Goblin Warrior",R,"grn","103",uncommon,null,Owned,Non-foil,false,,,"","",69579,false
"Kari Zev, Skyship Raider",2,"Legendary Creature - Human Pirate",R,"plst","AER-87",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Robber of the Rich",2,"Creature - Human Archer Rogue",R,"eld","138",mythic,null,Owned,Non-foil,false,,,"","",78406,false
"Young Pyromancer",2,"Creature - Human Shaman",R,"jmp","372",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,null,Owned,Non-foil,false,,,"","",78352,false
"Feldon of the Third Path",3,"Legendary Creature - Human Artificer",R,"cm2","6",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Hanweir Garrison",3,"Creature - Human Soldier",R,"emn","130",rare,null,Owned,Non-foil,false,,,"","",61220,false
"Imperial Recruiter",3,"Creature - Human Advisor",R,"mh2","281",mythic,null,Owned,Non-foil,false,,,"","",90985,false
"Krenko, Tin Street Kingpin",3,"Legendary Creature - Goblin",R,"dmc","124",rare,null,Owned,Non-foil,false,,,"","",103134,false
"Legion Warboss",3,"Creature - Goblin Soldier",R,"grn","109",rare,null,Owned,Non-foil,false,,,"","",69591,false
"Seasoned Pyromancer",3,"Creature - Human Shaman",R,"2x2","123",mythic,null,Owned,Non-foil,false,,,"","",101730,false
"Squee, Dubious Monarch",3,"Legendary Creature - Goblin Noble",R,"dmu","146",rare,null,Owned,Non-foil,false,,,"","",102768,false
"Flametongue Kavu",4,"Creature - Kavu",R,"jmp","319",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Hellrider",4,"Creature - Devil",R,"dka","93",rare,null,Owned,Non-foil,false,,,"","",43185,false
"Pia and Kiran Nalaar",4,"Legendary Creature - Human Artificer",R,"ori","157",rare,null,Owned,Non-foil,false,,,"","",57990,false
"Twinshot Sniper",4,"Artifact Creature - Goblin Archer",R,"neo","168",uncommon,null,Owned,Non-foil,false,,,"","",97270,false
"Siege-Gang Commander",5,"Creature - Goblin",R,"gnt","42",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Thundermaw Hellkite",5,"Creature - Dragon",R,"ima","149",mythic,null,Owned,Non-foil,false,,,"","",66177,false
"Zealous Conscripts",5,"Creature - Human Warrior",R,"tsr","354",special,null,Owned,Non-foil,false,,,"","",87085,false
"Inferno Titan",6,"Creature - Giant",R,"cm2","109",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Chandra, Torch of Defiance",4,"Legendary Planeswalker - Chandra",R,"kld","110",mythic,null,Owned,Non-foil,false,,,"","",61573,false
"Daretti, Scrap Savant",4,"Legendary Planeswalker - Daretti",R,"c16","123",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Fireblast",0,"Instant",R,"pd2","26",common,null,Owned,Non-foil,false,,,"","",39224,false
"Burst Lightning",1,"Instant",R,"zen","119",common,null,Owned,Non-foil,false,,,"","",34408,false
